Time (s),Channel 1 (V),Channel 2 (V)
0.0015972,2.016525396,2.241831616
0.00160325,2.015705866,2.240661723
0.0016093,2.014402069,2.238699323
0.00161535,2.013172774,2.236887876
0.0016214,2.013098271,2.236359537
0.00162745,2.013172774,2.235265121
0.0016335,2.012353244,2.233529151
0.00163955,2.011347458,2.232170566
0.0016456,2.010937693,2.231264843
0.00165165,2.010825939,2.230321381
0.0016577,2.010155415,2.228774103
0.00166375,2.010080912,2.22786838
0.0016698,2.010453425,2.227377779
0.00167585,2.010155415,2.226396579
0.0016819,2.00948489,2.225037994
0.00168795,2.009708398,2.224283224
0.001694,2.010602431,2.22413227
0.00170005,2.010341671,2.223339762
0.0017061,2.010378923,2.222886901
0.00171215,2.01112395,2.222811424
0.0017182,2.011272955,2.221943439
0.00172425,2.012055234,2.221867962
0.0017303,2.012949266,2.221943439
0.00173635,2.012688507,2.22066033
0.0017424,2.012576752,2.219528176
0.00174845,2.01388055,2.220282946
0.0017545,2.015407855,2.2209245
0.00176055,2.016301888,2.220547115
0.0017666,2.01663715,2.220396161
0.00177265,2.017568433,2.220509376
0.0017787,2.01969176,2.221490577
0.00178475,2.020883804,2.221792485
0.0017908,2.020809301,2.221075454
0.00179685,2.021926841,2.221037715
0.0018029,2.023603152,2.221679269
0.00180895,2.025577474,2.22315107
0.001815,2.027179282,2.223830362
0.00182105,2.028296822,2.223717147
0.0018271,2.029973133,2.22488704
0.00183315,2.031500439,2.225490855
0.0018392,2.032841487,2.225302163
0.00184525,2.034629552,2.225905979
0.0018513,2.03623136,2.226811702
0.00185735,2.037944922,2.227906118
0.0018634,2.040664271,2.229793042
0.00186945,2.04256409,2.230887458
0.0018755,2.04450116,2.231679966
0.00188155,2.046885246,2.232887597
0.0018876,2.048896819,2.23405749
0.00189365,2.051057398,2.235416075
0.0018997,2.052659206,2.236321799
0.00190575,2.054521773,2.237567168
0.0019118,2.057874395,2.239944692
0.00191785,2.060481989,2.241567447
0.0019239,2.062009295,2.24224674
0.00192995,2.064393381,2.24398271
0.001936,2.067336238,2.245831895
0.00194205,2.069645822,2.247228219
0.0019481,2.072327919,2.249643481
0.00195415,2.074563,2.251077543
0.0019602,2.077133343,2.252511605
0.00196625,2.0800762,2.254587222
0.0019723,2.082385784,2.256587361
0.00197835,2.08476987,2.25836107
0.0019844,2.08752647,2.260436686
